run,index,ascii,time_us
1,220,105,1744376376964090
1,221,115,1744376377981099
1,222,101,1744376378391539
1,223,115,1744376378847162
1,224,46,1744376379237252
1,225,32,1744376379371932
1,226,85,1744376379383922
1,227,110,1744376379769356
1,228,107,1744376380839933
1,229,110,1744376381679215
1,230,111,1744376383696074
1,231,119,1744376385023937
1,232,110,1744376385323271
1,233,32,1744376385328337
1,234,115,1744376386814386
1,235,105,1744376387637968
1,236,103,1744376388047782
1,237,110,1744376389063142
1,238,97,1744376389969423
1,239,108,1744376389996934
1,240,115,1744376390923084
1,241,32,1744376391695114
1,242,114,1744376392366922
1,243,101,1744376392371705
1,244,100,1744376392614476
1,245,105,1744376394173727
1,246,114,1744376394507928
1,247,101,1744376396197743
1,248,99,1744376396498566
1,249,116,1744376396663790
1,250,32,1744376397224055
1,251,116,1744376398124987
1,252,104,1744376398294982
1,253,101,1744376399275026
1,254,32,1744376399909396
1,255,115,1744376402065938
1,256,104,1744376404155413
1,257,105,1744376406323042
1,258,112,1744376406966603
1,259,46,1744376408252942
1,260,32,1744376408975259
1,261,226,1744376413263624
1,262,128,1744376413577729
1,263,156,1744376414289607
1,264,84,1744376415429714
1,265,104,1744376416697407
1,266,97,1744376417440746
1,267,116,1744376417587193
1,268,226,1744376419189921
1,269,128,1744376420063619
1,270,153,1744376420821143
1,271,115,1744376421651180
1,272,32,1744376421780638
1,273,110,1744376421807781
1,274,111,1744376422391994
1,275,116,1744376422971128
1,276,32,1744376423509690
1,277,117,1744376423549918
1,278,115,1744376423938583
1,279,46,1744376424420117
1,280,46,1744376424846574
1,281,46,1744376425264468
1,282,226,1744376426276202
1,283,128,1744376427617486
1,284,157,1744376428091252
1,285,10,1744376432357050
1,286,10,1744376432419053
1,287,4,1744376433147367
